==== START logs for container controller of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       1.1.1-20220413170248-b60724ed1
  Build:         git-b60724ed1
  Repository:    https://github.com/verrazzano/ingress-nginx.git
  nginx version: nginx/1.19.9

-------------------------------------------------------------------------------

W0714 00:25:41.193446       8 client_config.go:615] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0714 00:25:41.193716       8 main.go:223] "Creating API client" host="https://10.96.0.1:443"
W0714 00:25:43.757956       8 main.go:264] Initial connection to the Kubernetes API server was retried 2 times.
I0714 00:25:43.757995       8 main.go:267] "Running in Kubernetes cluster" major="1" minor="22" git="v1.22.5" state="clean" commit="c999fea1e6dbf111d64000dfaaff45edaa4c34d2" platform="linux/amd64"
I0714 00:25:43.935865       8 main.go:86] "Valid default backend" service="ingress-nginx/ingress-controller-ingress-nginx-defaultbackend"
I0714 00:25:44.451294       8 main.go:104] "SSL fake certificate created" file="/etc/ingress-controller/ssl/default-fake-certificate.pem"
I0714 00:25:44.659598       8 nginx.go:255] "Starting NGINX Ingress controller"
I0714 00:25:44.724621       8 event.go:282] Event(v1.ObjectReference{Kind:"ConfigMap", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller", UID:"f86d09bf-f387-4974-835e-5fd6af3b62ed", APIVersion:"v1", ResourceVersion:"20236412", FieldPath:""}): type: 'Normal' reason: 'CREATE' ConfigMap ingress-nginx/ingress-controller-ingress-nginx-controller
I0714 00:25:45.961676       8 nginx.go:297] "Starting NGINX process"
I0714 00:25:45.961807       8 leaderelection.go:248] attempting to acquire leader lease ingress-nginx/ingress-controller-leader...
I0714 00:25:45.962424       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:25:45.987971       8 leaderelection.go:258] successfully acquired lease ingress-nginx/ingress-controller-leader
I0714 00:25:45.988215       8 status.go:84] "New leader elected" identity="ingress-controller-ingress-nginx-controller-585d79996-9ncg7"
I0714 00:25:46.040641       8 controller.go:172] "Backend successfully reloaded"
I0714 00:25:46.040750       8 controller.go:183] "Initial sync, sleeping for 1 second"
I0714 00:25:46.040808       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
I0714 00:26:52.870137       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/verrazzano-ingress" ingressclass="_"
I0714 00:26:52.870826       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"verrazzano-ingress", UID:"f0830166-a9bc-4ac8-a77c-ecee88c6cc0f", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20237266", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:26:52.871245       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/verrazzano-tls" in local store
I0714 00:26:53.665294       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/verrazzano-tls"
I0714 00:26:53.668130       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/verrazzano-tls"
I0714 00:26:55.556362       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:26:55.646185       8 controller.go:172] "Backend successfully reloaded"
I0714 00:26:55.646438       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
I0714 00:27:07.049632       8 store.go:424] "Found valid IngressClass" ingress="cattle-system/rancher" ingressclass="_"
I0714 00:27:07.049822       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"cattle-system", Name:"rancher", UID:"7d285699-9c85-472e-badc-3ab033d045e8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20237487", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:07.049937       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "cattle-system/tls-rancher-ingress" in local store
I0714 00:27:07.125821       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"cattle-system", Name:"rancher", UID:"7d285699-9c85-472e-badc-3ab033d045e8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20237495", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:07.125921       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "cattle-system/tls-rancher-ingress" in local store
I0714 00:27:07.865114       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="cattle-system/tls-rancher-ingress"
I0714 00:27:07.871844       8 backend_ssl.go:65] "Adding secret to local store" name="cattle-system/tls-rancher-ingress"
W0714 00:27:08.889929       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:08.890081       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:27:08.992215       8 controller.go:172] "Backend successfully reloaded"
I0714 00:27:08.992381       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
W0714 00:27:12.223459       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:27:15.556375       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:15.669272       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/vmi-system-prometheus" ingressclass="_"
I0714 00:27:15.669485       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-prometheus", UID:"966d4614-4db2-4132-9275-9e35a9a9bc5b", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20237836", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:15.669707       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/system-tls-prometheus" in local store
I0714 00:27:16.172047       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/system-tls-prometheus"
I0714 00:27:16.174978       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/system-tls-prometheus"
I0714 00:27:17.608734       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/vmi-system-es-ingest" ingressclass="_"
I0714 00:27:17.609256       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-es-ingest", UID:"763dc1a2-0e9c-473a-8d1f-0983c04a622d", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20237932", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:17.609450       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/system-tls-es-ingest" in local store
I0714 00:27:17.986175       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/system-tls-es-ingest"
I0714 00:27:17.988634       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/system-tls-es-ingest"
W0714 00:27:18.889342       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:18.889543       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:27:19.041469       8 controller.go:172] "Backend successfully reloaded"
I0714 00:27:19.041702       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
I0714 00:27:19.312158       8 store.go:424] "Found valid IngressClass" ingress="keycloak/keycloak" ingressclass="nginx"
I0714 00:27:19.312388       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"keycloak", Name:"keycloak", UID:"c249df15-b1a0-4c7b-a144-3ae059e6f61c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238041", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:19.312565       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "keycloak/keycloak-tls" in local store
I0714 00:27:19.882591       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/vmi-system-grafana" ingressclass="_"
I0714 00:27:19.882754       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-grafana", UID:"eb2a8008-4f5d-458c-9afb-10a490649f50", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238082", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:19.882977       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/system-tls-grafana" in local store
I0714 00:27:19.891798       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/vmi-system-kibana" ingressclass="_"
I0714 00:27:19.892145       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kibana", UID:"1512e3b9-ac9f-4594-9e6f-2daebda504b3", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238083", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:19.892283       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/system-tls-kibana" in local store
I0714 00:27:20.767837       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="keycloak/keycloak-tls"
I0714 00:27:20.769931       8 backend_ssl.go:65] "Adding secret to local store" name="keycloak/keycloak-tls"
I0714 00:27:20.797888       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/system-tls-kibana"
I0714 00:27:20.800214       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/system-tls-kibana"
I0714 00:27:21.488044       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/system-tls-grafana"
I0714 00:27:21.490139       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/system-tls-grafana"
W0714 00:27:22.223389       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:22.223721       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:27:22.380290       8 controller.go:172] "Backend successfully reloaded"
I0714 00:27:22.380506       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
W0714 00:27:25.556792       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:27:28.890010       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:27:32.223701       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:33.213794       8 store.go:424] "Found valid IngressClass" ingress="verrazzano-system/vmi-system-kiali" ingressclass="_"
W0714 00:27:33.214276       8 backend_ssl.go:45] Error obtaining X.509 certificate: no object matching key "verrazzano-system/system-tls-kiali" in local store
I0714 00:27:33.214334       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kiali", UID:"497d73b7-a573-4ac5-8fc8-84c78b7aabfb", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238401", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
